recipe,calories,carbohydrate,sugar,protein,category,servings,high_traffic,calories_per_serving,protein_ratio,carb_ratio,sugar_ratio,high_calorie
19,1090.75,4.65,0.69,3.49,Meat,6,High,181.79166666666666,0.3952434881087203,0.5266138165345414,0.07814269535673839,0
20,127.55,27.55,1.51,8.91,Meat,2,Unknown,63.775,0.23465894126942324,0.72557282064788,0.03976823808269687,0
21,9.26,17.44,8.16,10.81,Vegetable,6,High,1.5433333333333332,0.29689645701730294,0.4789892886569624,0.22411425432573467,0
22,40.53,87.91,104.91,11.93,Dessert,4,Unknown,10.1325,0.05826617826617826,0.4293528693528693,0.5123809523809524,0
23,82.73,3.17,7.95,26.04,Breakfast,4,Unknown,20.6825,0.7007534983853606,0.08530678148546825,0.21393972012917117,0
24,288.55,21.48,4.55,10.8,Meat,2,Unknown,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
25,1161.49,1.53,8.88,12.57,Breakfast,1,High,1161.49,0.5469973890339426,0.06657963446475196,0.3864229765013055,1
26,56.29,22.35,11.38,34.79,One Dish Meal,4,High,14.0725,0.507734967892586,0.3261821366024518,0.16608289550496205,0
27,411.16,51.7,27.78,70.3,Meat,2,High,205.58,0.4693550540793163,0.3451729202830819,0.18547202563760182,0
28,574.75,13.12,1.84,13.85,Vegetable,4,High,143.6875,0.4807358556056925,0.45539743144741407,0.06386671294689344,0
29,595.39,62.67,2.64,4.96,Vegetable,2,High,297.695,0.07058488686494949,0.8918457378682226,0.03756937526682795,0
30,164.76,33.58,17.87,220.14,One Dish Meal,2,High,82.38,0.8105600353473986,0.12364225486947238,0.06579770978312899,0
31,215.98,52.66,6.25,32.32,Meat,2,High,107.99,0.35426942891592683,0.5772224049106653,0.06850816617340788,0
32,617.11,23.1,32.83,45.89,Breakfast,6,Unknown,102.85166666666667,0.45069730897662547,0.22687094873305838,0.32243174229031624,0
33,347.06,9.5,5.92,82.58,Meat,4,Unknown,86.765,0.8426530612244898,0.09693877551020408,0.060408163265306125,0
34,497.17,1.47,1.51,2.97,Lunch & Snacks,6,High,82.86166666666666,0.4991596638655462,0.24705882352941175,0.253781512605042,0
35,575.63,20.71,0.2,6.24,Breakfast,6,High,95.93833333333333,0.22983425414364642,0.7627992633517496,0.007366482504604053,0
36,796.89,29.1,9.63,2.28,Lunch & Snacks,2,Unknown,398.445,0.05559619604974395,0.7095830285296268,0.2348207754206291,0
37,1321.78,70.07,7.75,19.51,Breakfast,1,Unknown,1321.78,0.20045207027637935,0.7199219151340799,0.07962601458954074,1
38,44.55,99.82,2.62,15.57,Breakfast,4,Unknown,11.1375,0.13193797135835947,0.8458605202948902,0.02220150834675028,0
39,264.62,1.5,18.44,32.62,Meat,4,Unknown,66.155,0.6206240487062404,0.028538812785388126,0.3508371385083714,0
40,44.81,4.62,0.4,5.9,Vegetable,4,High,11.2025,0.5402930402930403,0.423076923076923,0.036630036630036625,0
41,621.54,14.16,10.7,39.69,Meat,6,High,103.58999999999999,0.6148721920991479,0.21936483346243224,0.16576297443841984,0
42,290.1,4.43,1.05,40.64,Breakfast,4,Unknown,72.525,0.8811795316565482,0.09605377276669558,0.02276669557675629,0
43,576.89,4.79,20.92,4.29,One Dish Meal,2,Unknown,288.445,0.143,0.15966666666666668,0.6973333333333334,0
44,262.12,17.46,0.33,87.05,Meat,4,Unknown,65.53,0.8303128576879053,0.1665394887447539,0.00314765356734071,0
45,64.29,16.95,0.77,11.2,Breakfast,1,Unknown,64.29,0.3872752420470263,0.5860995850622407,0.02662517289073306,0
46,83.39,13.06,1.62,3.44,Vegetable,6,High,13.898333333333333,0.18984547461368653,0.7207505518763797,0.08940397350993377,0
47,69.01,39.17,39.54,0.17,Beverages,4,Unknown,17.2525,0.0021551724137931034,0.49657707910750504,0.5012677484787017,0
48,43.91,48.16,4.58,7.92,Breakfast,4,Unknown,10.9775,0.13056379821958458,0.7939333992746456,0.07550280250576986,0
49,288.55,21.48,4.55,10.8,Meat,4,Unknown,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
50,1724.25,45.52,0.07,49.37,Breakfast,1,High,1724.25,0.5199031171019376,0.4793597304128054,0.0007371524852569503,1
51,293.36,19.16,9.4,1.32,Meat,2,Unknown,146.68,0.04417670682730924,0.6412315930388219,0.3145917001338688,0
52,1279.53,19.56,1.08,18.2,Meat,4,High,319.8825,0.46858908341915545,0.5036045314109165,0.027806385169927908,0
53,367.3,89.84,6.96,73.35,Meat,2,Unknown,183.65,0.431090214516603,0.5280047017337645,0.040905083749632684,0
54,74.56,47.47,16.36,45.15,Meat,4,High,18.64,0.4142962011378235,0.4355845109194348,0.1501192879427418,0
55,131.51,33.32,1.7,87.11,Meat,6,High,21.918333333333333,0.7132563661671989,0.27282403995742244,0.013919593875378696,0
56,2122.24,25.99,0.52,81.37,Meat,1,High,2122.24,0.7542639970337413,0.24091583240637746,0.00482017055988135,1
57,47.17,60.93,13.82,10.8,Vegetable,4,High,11.7925,0.12624196376388078,0.7122150789012274,0.16154295733489188,0
58,191.78,9.17,0.65,66.69,Meat,1,Unknown,191.78,0.8716507646059339,0.11985361390667888,0.008495621487387271,0
59,6.23,56.43,5.6,2.12,Lunch & Snacks,6,High,1.0383333333333333,0.03304754481683554,0.8796570537802025,0.0872954014029618,0
60,384.93,74.38,76.53,2.17,Dessert,2,Unknown,192.465,0.014175594460412857,0.48588973085968123,0.499934674679906,0
61,616.95,69.45,7.77,3.12,Dessert,4,High,154.2375,0.038834951456310676,0.8644510828976848,0.09671396564600447,0
62,187.87,55.51,9.99,86.09,One Dish Meal,4,Unknown,46.9675,0.5679134507553268,0.36618510455834813,0.06590144468632496,0
63,160.05,42.45,1.6,44.38,One Dish Meal,2,High,80.025,0.5018658826190207,0.4800407101662332,0.018093407214746126,0
64,813.08,88.55,0.47,136.89,Meat,1,High,813.08,0.6059492718339162,0.39197025364083043,0.00208047452525342,1
65,566.2,1.72,2.54,4.24,Meat,4,High,141.55,0.4988235294117647,0.2023529411764706,0.2988235294117647,0
66,260.33,0.51,1.24,4.53,Dessert,1,Unknown,260.33,0.7213375796178344,0.08121019108280254,0.19745222929936304,0
67,61.78,13.87,10.68,0.72,Beverages,2,Unknown,30.89,0.028492283339928773,0.5488721804511278,0.42263553620894345,0
68,717.72,71.21,14.02,7.1,Breakfast,4,Unknown,179.43,0.07689808296328388,0.7712552799740063,0.15184663706270987,0
69,1105.15,6.63,3.79,71.51,Meat,1,Unknown,1105.15,0.8728182594898084,0.08092273892347125,0.04625900158672037,1
70,799.39,23.14,3.33,19.75,One Dish Meal,1,Unknown,799.39,0.4273041973171787,0.5006490696668109,0.07204673301601039,1
71,100.0,95.89,10.2,114.6,Lunch & Snacks,4,Unknown,25.0,0.5192804386243146,0.4345008835923694,0.04621867778331596,0
72,2508.47,18.11,10.6,84.23,Meat,4,Unknown,627.1175,0.7457942270231982,0.16035062865238178,0.09385514432442005,1
73,38.22,13.09,3.8,2.09,Beverages,1,Unknown,38.22,0.11011591148577449,0.6896733403582719,0.20021074815595363,0
74,288.6,10.5,8.83,102.53,One Dish Meal,4,Unknown,72.15,0.8413753487608732,0.08616445100935499,0.07246020022977187,0
75,320.57,83.79,16.24,2.07,Dessert,1,High,320.57,0.02027424094025465,0.8206660137120472,0.15905974534769832,0
76,767.16,24.76,0.57,31.07,Vegetable,4,High,191.79,0.550886524822695,0.43900709219858153,0.010106382978723403,0
77,557.66,36.78,3.0,19.55,One Dish Meal,1,High,557.66,0.32951289398280803,0.619922467554357,0.050564638462834995,1
78,65.52,2.67,0.07,0.51,Dessert,2,Unknown,32.76,0.15692307692307692,0.8215384615384616,0.02153846153846154,0
79,791.49,98.51,5.8,91.51,Breakfast,1,Unknown,791.49,0.4673169237054438,0.5030640384026147,0.02961903789194158,1
80,19.91,35.47,2.17,11.82,Breakfast,1,High,19.91,0.23898099474322684,0.7171451678123736,0.04387383744439951,0
81,81.56,33.08,2.34,11.2,Breakfast,4,High,20.39,0.2402402402402402,0.7095667095667094,0.05019305019305018,0
82,65.69,7.99,9.23,14.52,Breakfast,4,High,16.4225,0.45746691871455575,0.25173282923755513,0.2908002520478891,0
83,288.55,21.48,4.55,10.8,Meat,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
84,886.47,78.02,16.39,2.37,Breakfast,2,Unknown,443.235,0.024488530688158712,0.8061582971688365,0.16935317214300474,0
85,85.17,29.96,0.57,5.24,Meat,2,High,42.585,0.1464914733016494,0.837573385518591,0.01593514117975957,0
86,662.78,47.61,4.08,2.39,Meat,1,High,662.78,0.044193786982248524,0.880362426035503,0.07544378698224853,1
87,113.03,23.45,0.47,62.08,Meat,4,High,28.2575,0.7218604651162791,0.27267441860465114,0.005465116279069767,0
88,374.27,74.16,5.91,0.38,Lunch & Snacks,2,Unknown,187.135,0.0047234307022995655,0.9218147917961468,0.07346177750155378,0
89,193.17,4.49,3.01,46.9,Breakfast,4,High,48.2925,0.8621323529411765,0.08253676470588237,0.055330882352941174,0
90,288.55,21.48,4.55,10.8,Meat,6,High,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
91,388.37,13.67,11.13,2.67,Breakfast,6,Unknown,64.72833333333334,0.09719694211867493,0.49763378230797234,0.4051692755733528,0
92,106.87,0.88,7.28,5.67,Vegetable,4,High,26.7175,0.40997830802603036,0.0636297903109183,0.5263919016630514,0
93,34.77,10.48,12.33,8.63,Breakfast,6,Unknown,5.795000000000001,0.27449109414758266,0.3333333333333333,0.3921755725190839,0
94,113.84,37.57,1.21,21.31,Meat,4,Unknown,28.46,0.35463471459477447,0.6252288234315193,0.020136461973706107,0
95,826.83,145.32,6.48,3.04,Vegetable,4,High,206.7075,0.01963316972358564,0.9385171790235083,0.04184965125290623,0
96,356.64,1.24,54.47,0.48,Beverages,4,Unknown,89.16,0.008542445274959957,0.02206798362697989,0.9693895710980601,0
97,88.57,14.31,47.32,5.67,Dessert,1,High,88.57,0.08424962852897475,0.21263001485884103,0.7031203566121843,0
98,2081.69,8.09,4.78,28.48,One Dish Meal,2,High,1040.845,0.6887545344619105,0.19564691656590083,0.11559854897218863,1
99,131.8,29.18,5.85,8.42,Breakfast,2,High,65.9,0.19378596087456845,0.6715765247410816,0.13463751438434982,0
100,672.26,88.81,6.31,20.89,Lunch & Snacks,2,Unknown,336.13,0.18007068356176192,0.7655374536677872,0.05439186277045082,0
101,266.41,58.44,4.19,10.96,Meat,4,Unknown,66.6025,0.14893327897812203,0.7941296371789645,0.05693708384291344,0
102,198.98,87.68,0.39,39.12,Vegetable,4,High,49.745,0.30757134994889535,0.689362371255602,0.003066278795502791,0
103,165.2,8.24,0.4,2.5,Meat,4,Unknown,41.3,0.2244165170556553,0.7396768402154399,0.03590664272890485,0
104,1075.91,3.67,15.1,45.62,Meat,4,High,268.9775,0.7084951079360149,0.056996428016772786,0.2345084640472123,0
105,413.67,20.8,5.75,54.13,Breakfast,1,Unknown,413.67,0.6709221616261775,0.25780862667327714,0.07126921170054536,0
106,396.37,16.85,2.48,0.27,Beverages,1,High,396.37,0.013775510204081633,0.8596938775510204,0.12653061224489795,0
107,766.01,9.43,0.82,66.71,Meat,1,Unknown,766.01,0.8668139293139293,0.12253118503118504,0.010654885654885655,1
108,196.68,2.28,9.12,2.17,Vegetable,1,High,196.68,0.15991156963890937,0.16801768607221812,0.6720707442888725,0
109,612.64,38.55,10.06,5.65,Dessert,6,High,102.10666666666667,0.10412827128639883,0.7104681164762255,0.18540361223737561,0
110,161.32,32.21,7.15,6.09,Lunch & Snacks,4,High,40.33,0.13399339933993398,0.7086908690869087,0.1573157315731573,0
111,46.99,24.72,2.13,10.8,Breakfast,4,Unknown,11.7475,0.2868525896414343,0.6565737051792828,0.05657370517928287,0
112,409.66,31.32,13.83,29.86,Meat,1,High,409.66,0.39808025596587127,0.41754432742301034,0.18437541661111853,0
113,719.02,49.37,1.22,5.72,Vegetable,4,High,179.755,0.10158053631681763,0.8767536849582668,0.02166577872491565,0
114,76.77,48.84,22.95,4.88,Meat,2,High,38.385,0.0636494065475414,0.6370157819225252,0.29933481152993346,0
115,177.84,10.67,2.21,3.02,Lunch & Snacks,2,High,88.92,0.189937106918239,0.6710691823899372,0.1389937106918239,0
116,26.76,5.17,2.39,4.45,Vegetable,4,High,6.69,0.37052456286427976,0.4304746044962531,0.1990008326394671,0
117,288.55,21.48,4.55,10.8,Meat,6,High,48.09166666666667,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
118,209.65,49.36,0.96,2.15,Breakfast,4,Unknown,52.4125,0.040975795692776824,0.9407280350676577,0.018296169239565466,0
119,28.83,31.55,38.36,3.57,Dessert,2,Unknown,14.415,0.048584648884050084,0.4293685356559609,0.5220468154599892,0
120,443.2,16.2,10.35,0.01,Vegetable,4,High,110.8,0.00037650602409638556,0.6099397590361446,0.38968373493975905,0
121,1114.94,31.45,13.02,1.33,Meat,2,High,557.47,0.02903930131004367,0.6866812227074236,0.2842794759825328,1
122,288.55,21.48,4.55,10.8,Dessert,2,High,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
123,384.59,1.93,8.6,0.86,Beverages,1,Unknown,384.59,0.07550482879719052,0.16944688323090432,0.7550482879719053,0
124,38.92,12.9,11.32,69.53,Meat,1,Unknown,38.92,0.7416533333333334,0.1376,0.12074666666666667,0
125,2906.01,3.52,1.89,179.22,Meat,6,High,484.33500000000004,0.9706981530628825,0.019065157341710447,0.01023668959540703,0
126,180.42,9.64,6.87,15.59,Breakfast,4,High,45.105,0.48566978193146415,0.3003115264797508,0.21401869158878503,0
127,324.0,79.18,1.7,7.03,One Dish Meal,4,High,81.0,0.07996814924354453,0.9006938914799226,0.019337959276532816,0
128,960.75,190.84,4.13,96.91,One Dish Meal,4,High,240.1875,0.33202000822255723,0.6538303412361245,0.01414965054131835,0
129,72.71,38.4,4.37,7.44,Breakfast,4,Unknown,18.1775,0.148177653853814,0.7647878908583948,0.08703445528779129,0
130,528.9,18.65,3.31,6.04,Vegetable,4,Unknown,132.225,0.21571428571428575,0.6660714285714286,0.11821428571428573,0
131,190.52,2.57,0.56,1.58,Beverages,6,Unknown,31.753333333333334,0.33545647558386416,0.5456475583864119,0.118895966029724,0
132,160.08,14.21,10.22,3.81,Vegetable,4,High,40.02,0.13491501416430596,0.503186968838527,0.36189801699716717,0
133,93.62,3.74,29.41,4.62,Dessert,4,High,23.405,0.12231930103256554,0.0990203865501721,0.7786603124172624,0
134,959.51,4.4,44.54,12.12,Dessert,1,Unknown,959.51,0.19849328529315427,0.07206026858827384,0.7294464461185719,1
135,104.25,44.61,5.12,2.89,Vegetable,4,High,26.0625,0.05492208285822882,0.8477765108323831,0.09730140630938808,0
136,115.95,156.23,7.9,49.63,One Dish Meal,4,High,28.9875,0.23217627245508984,0.7308663922155688,0.03695733532934132,0
137,288.55,21.48,4.55,10.8,One Dish Meal,2,High,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
138,24.05,59.63,0.31,142.03,Meat,4,High,6.0125,0.703223250977868,0.29524186760409965,0.001534881418032381,0
139,96.06,51.94,2.65,13.07,Breakfast,6,High,16.01,0.19317174105823234,0.7676618386047886,0.039166420336979015,0
140,13.62,92.02,0.89,44.92,One Dish Meal,1,High,13.62,0.3259087281433651,0.667634041935718,0.006457229920917073,0
141,4.22,3.46,10.93,0.74,Beverages,6,Unknown,0.7033333333333333,0.048909451421017845,0.22868473231989422,0.7224058162590878,0
142,24.21,67.02,13.47,7.82,Breakfast,6,Unknown,4.035,0.08855169290001133,0.7589174498924244,0.15253085720756426,0
143,94.41,25.98,23.79,1.49,Dessert,4,High,23.6025,0.02906749902458057,0.5068279360124854,0.46410456496293406,0
144,42.01,12.0,11.7,1.32,Beverages,1,Unknown,42.01,0.052757793764988015,0.47961630695443647,0.4676258992805755,0
145,296.92,1.42,11.15,25.19,Breakfast,2,High,148.46,0.6671080508474576,0.03760593220338982,0.2952860169491525,0
146,258.16,7.53,1.2,40.32,Meat,6,Unknown,43.02666666666667,0.8220183486238533,0.15351681957186547,0.024464831804281346,0
147,229.58,39.93,1.09,6.66,Vegetable,4,High,57.395,0.13968120805369125,0.837458053691275,0.022860738255033555,0
148,1568.0,15.49,5.23,53.23,Meat,1,Unknown,1568.0,0.7198106828938473,0.20946585530764034,0.07072346179851252,1
149,205.98,61.85,2.89,14.45,Meat,4,High,51.495,0.18247253441091046,0.7810329587069075,0.036494506882182094,0
150,288.55,21.48,4.55,10.8,Vegetable,2,High,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
151,286.54,21.1,1.53,4.1,Breakfast,6,High,47.75666666666667,0.15338570894126446,0.7893752338196782,0.05723905723905723,0
152,311.39,43.2,1.13,3.36,Vegetable,1,High,311.39,0.07045502201719438,0.9058502830782135,0.023694694904592153,0
153,178.98,4.34,17.29,18.49,Vegetable,4,High,44.745,0.46086739780658026,0.10817547357926222,0.4309571286141575,0
154,272.31,73.05,7.68,0.29,Beverages,2,Unknown,136.155,0.00357936312021723,0.9016292273512713,0.09479140952851148,0
155,188.42,34.29,5.55,3.15,Breakfast,4,High,47.105,0.0732728541521284,0.7976273551988835,0.12909979064898816,0
156,836.95,32.82,59.04,0.32,Beverages,2,Unknown,418.475,0.0034714688652636152,0.3560425254935995,0.640486005641137,0
157,81.01,0.35,1.27,1.19,Beverages,4,Unknown,20.2525,0.42348754448398573,0.12455516014234874,0.45195729537366547,0
158,766.8,13.6,8.27,17.85,Lunch & Snacks,6,Unknown,127.8,0.4493957703927493,0.3423967774420947,0.2082074521651561,0
159,335.43,23.88,2.77,38.18,Vegetable,6,High,55.905,0.5889248804565788,0.3683479870430356,0.04272713250038562,0
160,777.37,101.73,2.52,5.12,Dessert,4,High,194.3425,0.046813568620279786,0.9301453780744262,0.023041053305293956,0
161,353.58,12.82,1.02,6.39,One Dish Meal,1,High,353.58,0.3158675234799802,0.6337123084527929,0.05042016806722689,0
162,859.11,73.16,14.6,3.3,Dessert,6,High,143.185,0.03623984186250824,0.8034263123215463,0.16033384581594554,0
163,935.77,8.74,2.39,71.88,Meat,2,Unknown,467.885,0.865919768702566,0.10528851945548731,0.028791711841946756,0
164,379.87,13.94,0.57,43.68,Meat,4,High,94.9675,0.750644440625537,0.23956006186630005,0.009795497508162915,0
165,18.62,22.46,10.06,1.12,Beverages,6,Unknown,3.1033333333333335,0.03329369797859691,0.6676575505350772,0.2990487514863258,0
166,181.1,7.33,2.4,104.07,Meat,1,High,181.1,0.9144991212653778,0.06441124780316344,0.0210896309314587,0
167,25.83,0.13,2.24,28.6,Meat,6,Unknown,4.305,0.923474329996771,0.004197610590894414,0.07232805941233451,0
168,4.41,239.06,19.54,3.76,Dessert,1,High,4.41,0.014331452965391064,0.9111907302942521,0.07447781674035675,0
169,1044.92,24.34,5.6,4.66,Meat,4,Unknown,261.23,0.1346820809248555,0.7034682080924857,0.161849710982659,0
170,607.13,23.0,39.52,26.15,Breakfast,4,High,151.7825,0.2949137250479305,0.2593887447840307,0.4456975301680388,0
171,431.28,14.69,4.17,32.79,One Dish Meal,2,High,215.64,0.6348499515972894,0.28441432720232335,0.08073572120038722,0
172,76.08,13.95,8.59,1.05,Beverages,4,Unknown,19.02,0.04451038575667656,0.5913522679101314,0.364137346333192,0
173,98.76,7.28,16.56,1.15,Beverages,4,Unknown,24.69,0.04601840736294518,0.2913165266106443,0.6626650660264105,0
174,180.52,12.4,24.65,5.08,Dessert,2,High,90.26,0.12057915974365062,0.29432708283883224,0.5850937574175172,0
175,16.58,5.66,14.41,19.94,Breakfast,6,High,2.763333333333333,0.4983754061484629,0.1414646338415396,0.36015996000999745,0
176,382.85,3.38,44.22,0.36,Beverages,2,Unknown,191.425,0.007506255212677231,0.07047539616346955,0.9220183486238531,0
177,918.21,13.01,7.68,122.39,Meat,4,Unknown,229.5525,0.8553955828906906,0.09092815208275092,0.053676265026558576,0
178,114.0,113.65,3.1,26.36,Lunch & Snacks,4,Unknown,28.5,0.18419397666130946,0.7941443644748795,0.021661658863811054,0
179,336.52,1.05,1.89,5.22,Lunch & Snacks,2,Unknown,168.26,0.6397058823529411,0.1286764705882353,0.2316176470588235,0
180,410.34,28.09,3.5,128.84,Meat,4,High,102.585,0.8030916910802219,0.17509194041014772,0.02181636850963037,0
181,44.77,11.91,7.93,1.07,Vegetable,6,High,7.461666666666667,0.051171688187470116,0.569583931133429,0.3792443806791009,0
182,580.94,23.16,20.99,5.63,Dessert,6,High,96.82333333333334,0.11309762957010848,0.46524708718360785,0.4216552832462836,0
183,699.44,56.65,3.2,3.48,Vegetable,4,High,174.86,0.054950260540028426,0.89452076425075,0.05052897520922154,0
184,61.8,6.28,0.72,15.46,Vegetable,4,Unknown,15.45,0.6883348174532502,0.27960819234194123,0.032056990204808546,0
185,62.59,23.96,6.25,30.83,One Dish Meal,6,Unknown,10.431666666666667,0.5050786369593708,0.39252948885976413,0.10239187418086501,0
186,1266.75,154.18,0.59,0.46,Lunch & Snacks,4,High,316.6875,0.002963344714294917,0.9932358435869354,0.0038008116987695672,0
187,515.49,5.88,13.29,13.96,Lunch & Snacks,1,High,515.49,0.4213703591910656,0.17748264412918807,0.40114699667974646,1
188,288.55,21.48,4.55,10.8,Meat,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
189,181.86,33.04,44.67,5.48,Dessert,4,High,45.465,0.06587330207957687,0.3971631205673758,0.5369635773530472,0
190,529.68,23.75,2.28,15.81,Breakfast,1,High,529.68,0.377868068833652,0.5676386233269598,0.05449330783938813,1
191,1330.3,1.63,6.39,70.31,Meat,4,Unknown,332.575,0.8976126643686966,0.020809396144516788,0.08157793948678667,0
192,646.15,22.1,39.34,16.73,Dessert,6,Unknown,107.69166666666666,0.21402072406293976,0.2827171549187668,0.5032621210182935,0
193,1243.9,74.77,0.75,8.2,Lunch & Snacks,2,Unknown,621.95,0.09794553272814141,0.8930960344003822,0.00895843287147635,1
194,497.71,3.73,18.85,8.09,Meat,2,High,248.855,0.263775676556896,0.12161721552005215,0.6146071079230518,0
195,267.51,15.99,5.77,0.95,Dessert,1,Unknown,267.51,0.041831792162043156,0.7040951122853369,0.25407309555262,0
196,336.27,37.38,6.53,23.12,Lunch & Snacks,1,High,336.27,0.3449201849917947,0.5576607489183948,0.09741906608981053,0
197,216.1,7.93,1.2,151.64,Meat,6,Unknown,36.016666666666666,0.9432107980344592,0.04932512284630217,0.007464079119238664,0
198,278.05,9.85,12.93,26.75,Meat,6,High,46.34166666666667,0.5400767211790833,0.19886937209771854,0.26105390672319806,0
199,641.05,26.99,1.08,20.2,Meat,1,Unknown,641.05,0.41847938678268076,0.5591464677853739,0.02237414543194531,1
200,52.32,2.84,2.96,88.21,Meat,4,High,13.08,0.93830443569833,0.0302095521753005,0.03148601212636954,0
201,89.72,10.83,2.26,4.52,Vegetable,2,High,44.86,0.2566723452583759,0.6149914821124361,0.12833617262918795,0
202,113.97,12.54,0.64,7.93,Vegetable,6,High,18.995,0.3756513500710564,0.5940312648034107,0.030317385125532923,0
203,648.05,19.28,0.19,35.28,Breakfast,2,Unknown,324.025,0.6443835616438356,0.35214611872146123,0.003470319634703196,0
204,66.16,10.45,1.07,8.81,One Dish Meal,2,High,33.08,0.4333497294638466,0.5140186915887851,0.052631578947368425,0
205,258.33,5.22,8.23,29.05,Breakfast,1,High,258.33,0.6835294117647059,0.1228235294117647,0.19364705882352942,0
206,283.72,34.05,1.63,0.92,Lunch & Snacks,6,High,47.28666666666667,0.025136612021857924,0.9303278688524589,0.04453551912568306,0
207,551.7,1.11,5.9,186.18,Meat,4,High,137.925,0.9637144779750505,0.005745639008230241,0.030539883016719293,0
208,20.98,1.26,9.8,0.82,Beverages,1,Unknown,20.98,0.06902356902356901,0.10606060606060605,0.8249158249158249,0
209,10.21,44.63,17.74,13.51,Meat,4,High,2.5525,0.1780442804428044,0.5881655245123879,0.23379019504480755,0
210,288.55,21.48,4.55,10.8,Dessert,2,High,144.275,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
211,1165.14,0.14,4.36,9.64,Vegetable,1,High,1165.14,0.6817538896746818,0.009900990099009901,0.30834512022630833,1
212,310.1,48.58,35.01,40.12,Meat,4,High,77.525,0.3243068466575054,0.39269258750303127,0.2830005658394632,0
213,288.55,21.48,4.55,10.8,Dessert,4,High,72.1375,0.29323920716806956,0.5832202009231605,0.12354059190877002,0
214,816.25,5.42,8.24,37.47,Meat,1,High,816.25,0.7328378642675534,0.10600430275767651,0.1611578329747702,1
215,299.32,9.58,2.5,125.5,Meat,6,High,49.88666666666666,0.9121965401947957,0.06963221398459078,0.018171245820613458,0
216,280.13,1.1,7.58,0.56,Beverages,2,Unknown,140.065,0.06060606060606061,0.11904761904761905,0.8203463203463204,0
217,25.51,40.64,1.67,3.26,Lunch & Snacks,2,High,12.755,0.07153829273644942,0.8918147904323019,0.03664691683124863,0
218,1292.18,89.2,14.22,80.03,Meat,4,High,323.045,0.4362496593077133,0.48623603161624424,0.07751430907604252,0
219,166.44,0.53,29.68,4.86,Dessert,6,High,27.74,0.13857998289136014,0.015112631879098946,0.8463073852295409,0
220,1330.48,10.34,5.22,77.57,Meat,1,Unknown,1330.48,0.8329217223236336,0.11102759583378075,0.05605068184258563,1
221,625.76,23.38,11.99,25.79,Breakfast,2,High,312.88,0.42168083714846305,0.38227599738391105,0.1960431654676259,0
